Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
P16033	reviewed	PSBA2_SYNY3	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867	Synechocystis sp. (strain PCC 6803 / Kazusa)	360	GO:0005506; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0030096; GO:0031676; GO:0045156	plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]
P72656	reviewed	RNE_SYNY3	Ribonuclease E (RNase E) (SynRne) (EC 3.1.26.12) (Ribonuclease E/G)	rne slr1129	Synechocystis sp. (strain PCC 6803 / Kazusa)	674	GO:0000049; GO:0004519; GO:0004540; GO:0005737; GO:0005886; GO:0006364; GO:0008033; GO:0019843; GO:0046872; GO:0051607	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; ribonuclease activity [GO:0004540]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; defense response to virus [GO:0051607]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
P73276	reviewed	HIK2_SYNY3	Sensor histidine kinase Hik2 (EC 2.7.13.3) (CSK)	hik2 slr1147	Synechocystis sp. (strain PCC 6803 / Kazusa)	434	GO:0000155; GO:0005737; GO:0046872; GO:0051538	cytoplasm [GO:0005737]; 3 iron, 4 sulfur cluster binding [GO:0051538]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]
P73911	reviewed	KATG_SYNY3	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG sll1987	Synechocystis sp. (strain PCC 6803 / Kazusa)	754	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
P74383	reviewed	ASGX_SYNY3	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase subunit alpha; Isoaspartyl peptidase/L-asparaginase subunit beta]	sll0422	Synechocystis sp. (strain PCC 6803 / Kazusa)	329	GO:0006508; GO:0008798	beta-aspartyl-peptidase activity [GO:0008798]; proteolysis [GO:0006508]
P80505	reviewed	G3P2_SYNY3	Glyceraldehyde-3-phosphate dehydrogenase 2 (EC 1.2.1.59) (GAPDH 2) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gap2 sll1342	Synechocystis sp. (strain PCC 6803 / Kazusa)	337	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0047100; GO:0050661; GO:0051287	cytoplasm [GO:0005737]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity [GO:0047100]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]
Q55013	reviewed	CY550_SYNY3	Cytochrome c-550 (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c)	psbV petK sll0258	Synechocystis sp. (strain PCC 6803 / Kazusa)	160	GO:0005506; GO:0009055; GO:0018063; GO:0019684; GO:0020037; GO:0022904; GO:0030096; GO:0031676	plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; cytochrome c-heme linkage [GO:0018063]; photosynthesis, light reaction [GO:0019684]; respiratory electron transport chain [GO:0022904]
Q55168	reviewed	PHY1_SYNY3	Phytochrome-like protein Cph1 (EC 2.7.13.3) (Bacteriophytochrome Cph1) (Light-regulated histidine kinase 1)	cph1 slr0473	Synechocystis sp. (strain PCC 6803 / Kazusa)	748	GO:0000155; GO:0004673; GO:0005524; GO:0006355; GO:0009584; GO:0009585; GO:0009639; GO:0009883; GO:0042802; GO:0046777	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]; red or far-red light photoreceptor activity [GO:0009883]; detection of visible light [GO:0009584]; protein autophosphorylation [GO:0046777]; red, far-red light phototransduction [GO:0009585]; regulation of DNA-templated transcription [GO:0006355]; response to red or far red light [GO:0009639]
Q55415	reviewed	BICA_SYNY3	Bicarbonate transporter BicA	bicA sll0834	Synechocystis sp. (strain PCC 6803 / Kazusa)	564	GO:0005886; GO:0006814; GO:0015138; GO:0015141; GO:0015183; GO:0015741; GO:0046872; GO:0071422	plasma membrane [GO:0005886]; fumarate transmembrane transporter activity [GO:0015138]; L-aspartate transmembrane transporter activity [GO:0015183]; metal ion binding [GO:0046872]; succinate transmembrane transporter activity [GO:0015141]; fumarate transport [GO:0015741]; sodium ion transport [GO:0006814]; succinate transmembrane transport [GO:0071422]
Q55721	reviewed	FBT_SYNY3	Folate-biopterin transporter	slr0642	Synechocystis sp. (strain PCC 6803 / Kazusa)	494	GO:0005886; GO:0008517; GO:0015231; GO:0015350; GO:0015884; GO:0015885; GO:0051958	plasma membrane [GO:0005886]; 5-formyltetrahydrofolate transmembrane transporter activity [GO:0015231]; folic acid transmembrane transporter activity [GO:0008517]; methotrexate transmembrane transporter activity [GO:0015350]; 5-formyltetrahydrofolate transport [GO:0015885]; folic acid transport [GO:0015884]; methotrexate transport [GO:0051958]
P29255	reviewed	PSAB_SYNY3	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB slr1835	Synechocystis sp. (strain PCC 6803 / Kazusa)	731	GO:0000287; GO:0009055; GO:0015979; GO:0016168; GO:0030094; GO:0031676; GO:0051539	plasma membrane-derived photosystem I [GO:0030094]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]
P52231	reviewed	THIO_SYNY3	Thioredoxin (Trx)	trxA slr0623	Synechocystis sp. (strain PCC 6803 / Kazusa)	107	GO:0005737; GO:0015035; GO:0016671	cytoplasm [GO:0005737]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; protein-disulfide reductase activity [GO:0015035]
P74308	reviewed	AKR_SYNY3	Aldo/keto reductase slr0942 (AKR) (EC 1.1.1.184) (AKR3G1)	slr0942	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0004032; GO:0004033; GO:0004090; GO:0005829; GO:0070402	cytosol [GO:0005829]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; carbonyl reductase (NADPH) activity [GO:0004090]; NADPH binding [GO:0070402]
P74312	reviewed	ARREH_SYNY3	NADPH-dependent quinone reductase ArsH (EC 1.6.5.2) (Arsenical resistance operon protein ArsH)	arsH slr0945	Synechocystis sp. (strain PCC 6803 / Kazusa)	206	GO:0003955; GO:0005829; GO:0008753; GO:0010038; GO:0010181; GO:0050136; GO:0051289; GO:0052851	cytosol [GO:0005829]; ferric-chelate reductase (NADPH) activity [GO:0052851]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH dehydrogenase (quinone) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]; protein homotetramerization [GO:0051289]; response to metal ion [GO:0010038]
Q55389	reviewed	FTRC_SYNY3	Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)	ftrC sll0554	Synechocystis sp. (strain PCC 6803 / Kazusa)	118	GO:0009055; GO:0015979; GO:0016730; GO:0046872; GO:0051539; GO:0103012	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; ferredoxin-thioredoxin reductase activity [GO:0103012]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730]; photosynthesis [GO:0015979]
Q55835	reviewed	FUTA2_SYNY3	Iron uptake protein A2 (Iron deficiency-induced protein A) (PP2)	futA2 idiA slr0513	Synechocystis sp. (strain PCC 6803 / Kazusa)	346	GO:0030288; GO:0031676; GO:0034755; GO:0046872	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane-derived thylakoid membrane [GO:0031676]; metal ion binding [GO:0046872]; iron ion transmembrane transport [GO:0034755]
P27320	reviewed	FER_SYNY3	Ferredoxin-1 (Ferredoxin I)	petF fed ssl0020	Synechocystis sp. (strain PCC 6803 / Kazusa)	97	GO:0009055; GO:0046872; GO:0051537	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]
P29107	reviewed	ILVC_SYNY3	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC sll1363	Synechocystis sp. (strain PCC 6803 / Kazusa)	331	GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0050661	cytosol [GO:0005829]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]
P72758	reviewed	CCMM_SYNY3	Carboxysome assembly protein CcmM (CcmM73) (M73) (Carbon dioxide concentrating mechanism protein CcmM)	ccmM sll1031	Synechocystis sp. (strain PCC 6803 / Kazusa)	687	GO:0015977; GO:0015979; GO:0031470; GO:0043886	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]
P73069	reviewed	YCF48_SYNY3	Photosystem II assembly lipoprotein Ycf48	ycf48 slr2034	Synechocystis sp. (strain PCC 6803 / Kazusa)	342	GO:0009523; GO:0010207; GO:0031676; GO:0031977	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; thylakoid lumen [GO:0031977]; photosystem II assembly [GO:0010207]
P73832	reviewed	CPHB_SYNY3	Cyanophycinase (EC 3.4.15.6)	cphB slr2001	Synechocystis sp. (strain PCC 6803 / Kazusa)	271	GO:0006508; GO:0008236; GO:0042803	protein homodimerization activity [GO:0042803]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]
P74313	reviewed	ARSC_SYNY3	Glutaredoxin arsenate reductase (EC 1.20.4.1) (Low molecular weight protein-tyrosine-phosphatase) (EC 3.1.3.48) (Protein ArsC) (SynArsC) (rSynArsC)	arsC slr0946	Synechocystis sp. (strain PCC 6803 / Kazusa)	131	GO:0004725; GO:0008794; GO:0046685	arsenate reductase (glutaredoxin) activity [GO:0008794]; protein tyrosine phosphatase activity [GO:0004725]; response to arsenic-containing substance [GO:0046685]
P77961	reviewed	GLN1B_SYNY3	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA slr1756	Synechocystis sp. (strain PCC 6803 / Kazusa)	473	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019740; GO:0046872	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; metal ion binding [GO:0046872]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]
P80507	reviewed	IPYR_SYNY3	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppa ipyR slr1622	Synechocystis sp. (strain PCC 6803 / Kazusa)	169	GO:0000287; GO:0004427; GO:0005737; GO:0006796	cytoplasm [GO:0005737]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]
Q54735	reviewed	CYNT_SYNY3	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	ccaA icfA slr1347	Synechocystis sp. (strain PCC 6803 / Kazusa)	274	GO:0004089; GO:0008270; GO:0009440; GO:0015976; GO:0015977; GO:0015979; GO:0031470; GO:0042802	carboxysome [GO:0031470]; carbonate dehydratase activity [GO:0004089]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; carbon fixation [GO:0015977]; carbon utilization [GO:0015976]; cyanate catabolic process [GO:0009440]; photosynthesis [GO:0015979]
Q55354	reviewed	PSBL_SYNY3	Photosystem II reaction center protein L (PSII-L)	psbL smr0007	Synechocystis sp. (strain PCC 6803 / Kazusa)	39	GO:0009539; GO:0015979; GO:0030096; GO:0031676	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; photosynthesis [GO:0015979]
Q55650	reviewed	BIOU_SYNY3	(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.121) (8-amino-7-oxononanoate carboxylating dehydrogenase)	bioU slr0355	Synechocystis sp. (strain PCC 6803 / Kazusa)	331	GO:0006520; GO:0008483; GO:0009102; GO:0016491; GO:0050661; GO:0051287	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]; transaminase activity [GO:0008483]; amino acid metabolic process [GO:0006520]; biotin biosynthetic process [GO:0009102]
P19125	reviewed	NDHJ_SYNY3	NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J) (ORF 155)	ndhJ slr1281	Synechocystis sp. (strain PCC 6803 / Kazusa)	179	GO:0008137; GO:0019684; GO:0031676; GO:0048038	plasma membrane-derived thylakoid membrane [GO:0031676]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
P22034	reviewed	CH602_SYNY3	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)	groEL2 cpn60-2 groL2 sll0416	Synechocystis sp. (strain PCC 6803 / Kazusa)	552	GO:0005524; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0051085; GO:0140662; GO:1990220	GroEL-GroES complex [GO:1990220]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]
P26533	reviewed	ATPE_SYNY3	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC atpE slr1330	Synechocystis sp. (strain PCC 6803 / Kazusa)	136	GO:0005524; GO:0015986; GO:0031676; GO:0045260; GO:0045261; GO:0046933	plasma membrane proton-transporting ATP synthase complex [GO:0045260]; plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]
P72760	reviewed	CCMK1_SYNY3	Carboxysome shell protein CcmK1 (Carbon dioxide-concentrating mechanism protein CcmK1)	ccmK1 sll1029	Synechocystis sp. (strain PCC 6803 / Kazusa)	111	GO:0015977; GO:0015979; GO:0031470; GO:0043886	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]
P72848	reviewed	HEM6_SYNY3	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF sll1185	Synechocystis sp. (strain PCC 6803 / Kazusa)	340	GO:0004109; GO:0005737; GO:0006782; GO:0015995; GO:0042803; GO:0046872	cytoplasm [GO:0005737]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; chlorophyll biosynthetic process [GO:0015995]; protoporphyrinogen IX biosynthetic process [GO:0006782]
P73241	reviewed	ATCS_SYNY3	Probable copper-transporting ATPase PacS (EC 7.2.2.8)	pacS sll1920	Synechocystis sp. (strain PCC 6803 / Kazusa)	745	GO:0005507; GO:0005524; GO:0005886; GO:0015677; GO:0016020; GO:0016887; GO:0043682; GO:0055070; GO:0140581	membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; copper ion homeostasis [GO:0055070]; copper ion import [GO:0015677]
P73407	reviewed	CCMK4_SYNY3	Carboxysome shell protein CcmK4 (Carbon dioxide-concentrating mechanism protein CcmK4)	ccmK4 slr1839	Synechocystis sp. (strain PCC 6803 / Kazusa)	112	GO:0015977; GO:0015979; GO:0031470; GO:0043886	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]
P73437	reviewed	FTSH4_SYNY3	ATP-dependent zinc metalloprotease FtsH 4 (EC 3.4.24.-)	ftsH4 sll1463	Synechocystis sp. (strain PCC 6803 / Kazusa)	628	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0008270; GO:0009579; GO:0016887; GO:0030163; GO:0031676	plasma membrane-derived thylakoid membrane [GO:0031676]; thylakoid [GO:0009579]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
P73456	reviewed	FTSZ_SYNY3	Cell division protein FtsZ	ftsZ sll1633	Synechocystis sp. (strain PCC 6803 / Kazusa)	430	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0032506; GO:0042802; GO:0043093; GO:0051258; GO:0051301	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; cell division [GO:0051301]; cytokinetic process [GO:0032506]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
P73810	reviewed	TOP1_SYNY3	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA slr2058	Synechocystis sp. (strain PCC 6803 / Kazusa)	898	GO:0003677; GO:0003917; GO:0006265; GO:0046872	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]
P74155	reviewed	YIDC_SYNY3	Membrane protein insertase YidC (Alb3) (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC) (Oxa1) (SynYidC)	yidC alb3 slr1471	Synechocystis sp. (strain PCC 6803 / Kazusa)	384	GO:0005886; GO:0015031; GO:0032977; GO:0051205	plasma membrane [GO:0005886]; membrane insertase activity [GO:0032977]; protein insertion into membrane [GO:0051205]; protein transport [GO:0015031]
P74181	reviewed	GGT_SYNY3	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt slr1269	Synechocystis sp. (strain PCC 6803 / Kazusa)	518	GO:0006508; GO:0006750; GO:0006751; GO:0036374; GO:0102953; GO:0103068	glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; proteolysis [GO:0006508]
P74250	reviewed	GPX1_SYNY3	Hydroperoxy fatty acid reductase gpx1 (EC 1.11.1.22)	gpx1 slr1171	Synechocystis sp. (strain PCC 6803 / Kazusa)	169	GO:0004602; GO:0034599; GO:0110165	cellular anatomical entity [GO:0110165]; glutathione peroxidase activity [GO:0004602]; cellular response to oxidative stress [GO:0034599]
P74625	reviewed	CPCL_SYNY3	Photosystem I-associated linker protein CpcL (Phycobilisome rod-core linker polypeptide CpcG2)	cpcL cpcG2 sll1471	Synechocystis sp. (strain PCC 6803 / Kazusa)	249	GO:0015979; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
